player_id,player_name,team
1,Shkodran Mustafi,Arsenal
2,H?ctor Beller?n,Arsenal
3,Sead Kolasinac,Arsenal
4,Ainsley Maitland-Niles,Arsenal
5,Sokratis Papastathopoulos,Arsenal
6,Nacho Monreal,Arsenal
7,Laurent Koscielny,Arsenal
8,Konstantinos Mavropanos,Arsenal
9,Carl Jenkinson,Arsenal
10,Rob Holding,Arsenal
11,Pierre-Emerick Aubameyang,Arsenal
12,Alexandre Lacazette,Arsenal
13,Edward Nketiah,Arsenal
14,Bernd Leno,Arsenal
15,Mesut ?zil,Arsenal
16,Henrikh Mkhitaryan,Arsenal
17,Alex Iwobi,Everton
18,Granit Xhaka,Arsenal
19,Lucas Torreira,Arsenal
20,Mohamed Elneny,Arsenal
21,Matteo Guendouzi,Arsenal
22,Ahmed El Mohamady,Aston Villa
23,James Chester,Aston Villa
24,Neil Taylor,Aston Villa
25,Kortney Hause,Aston Villa
26,Jonathan Kodjia,Aston Villa
27,?rjan Nyland,Aston Villa
28,Conor Hourihane,Aston Villa
29,Jack Grealish,Aston Villa
30,Anwar El Ghazi,Aston Villa
31,John McGinn,Aston Villa
32,Andre Green,Aston Villa
33,Birkir Bjarnason,Aston Villa
34,Keinan Davis,Aston Villa
35,Henri Lansbury,Aston Villa
36,Jos? Ignacio Peleteiro Romallo,Aston Villa
37,Shane Duffy,Brighton
38,Mart?n Montoya,Brighton
39,Bernardo Fernandes da Silva Junior,Brighton
40,Leon Balogun,Brighton
41,Ga?tan Bong,Brighton
42,Lewis Dunk,Brighton
43,Matthew Clarke,Brighton
44,Glenn Murray,Brighton
45,J?rgen Locadia,Brighton
46,Florin Andone,Brighton
47,Mathew Ryan,Brighton
48,David Button,Brighton
49,Pascal Gro?,Brighton
50,Alireza Jahanbakhsh,Brighton
51,Jos? Heriberto Izquierdo Mena,Brighton
52,Anthony Knockaert,Brighton
53,Yves Bissouma,Brighton
54,Davy Pr?pper,Brighton
55,Solomon March,Brighton
56,Beram Kayal,Brighton
57,Dale Stephens,Brighton
58,Steve Cook,Bournemouth
59,Nathan Ak?,Bournemouth
60,Charlie Daniels,Bournemouth
61,Chris Mepham,Bournemouth
62,Simon Francis,Bournemouth
63,Adam Smith,Bournemouth
64,Lloyd Kelly,Bournemouth
65,Diego Rico,Bournemouth
66,Jack Simpson,Bournemouth
67,Callum Wilson,Bournemouth
68,Joshua King,Bournemouth
69,Dominic Solanke,Bournemouth
70,Lys Mousset,Sheffield United
71,Sam Surridge,Bournemouth
72,Asmir Begovic,Bournemouth
73,Artur Boruc,Bournemouth
74,Mark Travers,Bournemouth
75,Ryan Fraser,Bournemouth
76,David Brooks,Bournemouth
77,Junior Stanislas,Bournemouth
78,Jordon Ibe,Bournemouth
79,Lewis Cook,Bournemouth
80,Andrew Surman,Bournemouth
81,Dan Gosling,Bournemouth
82,Jefferson Lerma,Bournemouth
83,Ben Mee,Burnley
84,James Tarkowski,Burnley
85,Matthew Lowton,Burnley
86,Phil Bardsley,Burnley
87,Charlie Taylor,Burnley
88,Kevin Long,Burnley
89,Ben Gibson,Burnley
90,Ashley Barnes,Burnley
91,Chris Wood,Burnley
92,Matej Vydra,Burnley
93,Nick Pope,Burnley
94,Tom Heaton,Aston Villa
95,Joe Hart,Burnley
96,Johann Berg Gudmundsson,Burnley
97,Dwight McNeil,Burnley
98,Robbie Brady,Burnley
99,Steven Defour,Burnley
100,Jeff Hendrick,Burnley
101,Ashley Westwood,Burnley
102,Jack Cork,Burnley
103,Marcos Alonso,Chelsea
104,Antonio R?diger,Chelsea
105,C?sar Azpilicueta,Chelsea
106,David Luiz Moreira Marinho,Arsenal
107,Emerson Palmieri dos Santos,Chelsea
108,Andreas Christensen,Chelsea
109,Davide Zappacosta,Chelsea
110,Olivier Giroud,Chelsea
111,Kepa Arrizabalaga,Chelsea
112,Willy Caballero,Chelsea
113,Willian Borges Da Silva,Chelsea
114,Pedro Rodr?guez Ledesma,Chelsea
115,Ruben Loftus-Cheek,Chelsea
116,Callum Hudson-Odoi,Chelsea
117,Ross Barkley,Chelsea
118,Jorge Luiz Frello Filho,Chelsea
119,N'Golo Kant?,Chelsea
120,Daniel Drinkwater,Burnley
121,Ethan Ampadu,Chelsea
122,Aaron Wan-Bissaka,Man Utd
123,Patrick van Aanholt,Crystal Palace
124,James Tomkins,Crystal Palace
125,Mamadou Sakho,Crystal Palace
126,Joel Ward,Crystal Palace
127,Scott Dann,Crystal Palace
128,Martin Kelly,Crystal Palace
129,Christian Benteke,Crystal Palace
130,Connor Wickham,Crystal Palace
131,Vicente Guaita,Crystal Palace
132,Wayne Hennessey,Crystal Palace
133,Wilfried Zaha,Crystal Palace
134,Luka Milivojevic,Crystal Palace
135,Andros Townsend,Crystal Palace
136,Max Meyer,Crystal Palace
137,Jeffrey Schlupp,Crystal Palace
138,James McArthur,Crystal Palace
139,Cheikhou Kouyat?,Crystal Palace
140,Luke Dreher,Crystal Palace
141,Lucas Digne,Everton
142,Yerry Mina,Everton
143,Michael Keane,Everton
144,Seamus Coleman,Everton
145,Leighton Baines,Everton
146,Cenk Tosun,Everton
147,Dominic Calvert-Lewin,Everton
148,Jordan Pickford,Everton
149,Maarten Stekelenburg,Everton
150,Richarlison de Andrade,Everton
151,Gylfi Sigurdsson,Everton
152,Bernard An?cio Caldeira Duarte,Everton
153,Theo Walcott,Everton
154,Tom Davies,Everton
155,Ademola Lookman,Everton
156,Idrissa Gueye,Everton
157,James McCarthy,Crystal Palace
158,Morgan Schneiderlin,Everton
159,Ricardo Domingos Barbosa Pereira,Leicester
160,Harry Maguire,Man Utd
161,Benjamin Chilwell,Leicester
162,Jonny Evans,Leicester
163,Christian Fuchs,Leicester
164,?aglar S?y?nc?,Leicester
165,Wes Morgan,Leicester
166,Jamie Vardy,Leicester
167,Kelechi Iheanacho,Leicester
168,Kasper Schmeichel,Leicester
169,Eldin Jakupovic,Leicester
170,Danny Ward,Leicester
171,James Maddison,Leicester
172,Harvey Barnes,Leicester
173,Rachid Ghezzal,Leicester
174,Marc Albrighton,Leicester
175,Demarai Gray,Leicester
176,Wilfred Ndidi,Leicester
177,Matty James,Leicester
178,Daniel Amartey,Leicester
179,Nampalys Mendy,Leicester
180,Hamza Choudhury,Leicester
181,Andrew Robertson,Liverpool
182,Trent Alexander-Arnold,Liverpool
183,Virgil van Dijk,Liverpool
184,Joseph Gomez,Liverpool
185,Joel Matip,Liverpool
186,Dejan Lovren,Liverpool
187,Roberto Firmino,Liverpool
188,Divock Origi,Liverpool
189,Alisson Ramses Becker,Liverpool
190,Simon Mignolet,Liverpool
191,Mohamed Salah,Liverpool
192,Sadio Man?,Liverpool
193,Alex Oxlade-Chamberlain,Liverpool
194,Xherdan Shaqiri,Liverpool
195,Adam Lallana,Liverpool
196,Naby Keita,Liverpool
197,Fabio Henrique Tavares,Liverpool
198,Jordan Henderson,Liverpool
199,Georginio Wijnaldum,Liverpool
200,James Milner,Liverpool
201,Rafael Camacho,Liverpool
202,Aymeric Laporte,Man City
203,Kyle Walker,Man City
204,Benjamin Mendy,Man City
205,Fabian Delph,Everton
206,Oleksandr Zinchenko,Man City
207,John Stones,Man City
208,Nicol?s Otamendi,Man City
209,Danilo Luiz da Silva,Man City
210,Sergio Ag?ero,Man City
211,Gabriel Fernando de Jesus,Man City
212,Ederson Santana de Moraes,Man City
213,Claudio Bravo,Man City
214,Raheem Sterling,Man City
215,Kevin De Bruyne,Man City
216,Leroy San?,Man City
217,Riyad Mahrez,Man City
218,Bernardo Mota Veiga de Carvalho e Silva,Man City
219,David Silva,Man City
220,Phil Foden,Man City
221,Fernando Luiz Rosa,Man City
222,Ilkay G?ndogan,Man City
223,Chris Smalling,Man Utd
224,Ashley Young,Man Utd
225,Victor Lindel?f,Man Utd
226,Luke Shaw,Man Utd
227,Marcos Rojo,Man Utd
228,Eric Bailly,Man Utd
229,Jos? Diogo Dalot Teixeira,Man Utd
230,Matteo Darmian,Man Utd
231,Phil Jones,Man Utd
232,Romelu Lukaku,Man Utd
233,Marcus Rashford,Man Utd
234,Mason Greenwood,Man Utd
235,David de Gea,Man Utd
236,Sergio Romero,Man Utd
237,Lee Grant,Man Utd
238,Paul Pogba,Man Utd
239,Anthony Martial,Man Utd
240,Alexis S?nchez,Man Utd
