n_prev_games,n_estimators,max_depth,learning_rate,validation_MAE,validation_MSE,validation_RMSE,test_MAE,test_MSE,test_RMSE,best_iteration
5,1000,6,0.1,1.1348110323405711,4.188401340254365,2.0465584135944823,1.209118543748835,4.723441048095238,2.173347889339219,96
3,1000,6,0.1,1.1600741780528177,4.135913662488631,2.033694584368221,1.219806237542445,4.726623444746865,2.1740799076268713,61
7,1000,6,0.1,1.1904937630600538,4.409183768222018,2.0998056501071756,1.2359846882549155,5.0004986486875405,2.2361794759561544,33
10,1000,6,0.1,1.199775067416077,4.563937537186109,2.1363374118303757,1.2909826538774438,5.117413738721178,2.2621701392073006,30
9,1000,6,0.1,1.2114721001932902,4.567540889537599,2.137180593571259,1.179922023725913,4.238879718960962,2.058853981942615,34
8,1000,6,0.1,1.2134966636717233,4.776220897716017,2.185456679441626,1.2175759075669224,4.660162050962662,2.1587408484954054,36
6,1000,6,0.1,1.2185227003582295,4.502531048094722,2.1219168334538283,1.1931463141461478,4.607871147036039,2.146595245274721,69
4,1000,6,0.1,1.2352405670757072,4.473395285078902,2.1150402561367248,1.201203023634048,4.330399928272329,2.080961299080867,22
5,200,6,0.01,1.1931049371537656,4.27669558677605,2.068017308142282,1.2623554600717437,4.843650617688945,2.2008295294476907,199
3,200,6,0.01,1.2039374762704502,4.179513154864928,2.0443857646894648,1.255130864334711,4.7228844856607175,2.1732198429198823,199
7,200,6,0.01,1.227299322180099,4.445462991731169,2.1084266626399812,1.2638897193365342,5.021495712212887,2.240869409897169,199
10,200,6,0.01,1.2275207804464279,4.602336303319419,2.1453056433336997,1.3148777364342985,5.152708650493166,2.2699578521402475,199
4,200,6,0.01,1.2457861672192203,4.468479329596712,2.1138777943856435,1.2089237612404853,4.334368468651675,2.0819146160809945,199
9,200,6,0.01,1.2464849860652496,4.601530627916185,2.145117858747203,1.22083824784684,4.296566450938842,2.072816067802168,199
8,200,6,0.01,1.2475269901836634,4.83031294215017,2.1977972932347902,1.2503947539045663,4.714386678767972,2.171263843656033,199
6,200,6,0.01,1.2574424084145426,4.571402277145599,2.138083786278171,1.2380250674418702,4.639903001285457,2.154043407474756,199
5,500,6,0.01,1.1444002077976902,4.208924571653297,2.051566370277427,1.2201066864134933,4.738439181649877,2.176795622388532,475
3,500,6,0.01,1.1765365009828903,4.14882383572892,2.0368661801230146,1.2301684183385069,4.682674627778644,2.1639488505458355,311
7,500,6,0.01,1.179276452535019,4.358922020359658,2.0878031565163555,1.2240839361914566,4.938174411607109,2.222200353615108,418
10,500,6,0.01,1.1980289517348286,4.563655197990323,2.13627133061096,1.290154324178958,5.1173879264152164,2.2621644339913085,325
8,500,6,0.01,1.2002989118736693,4.69028825857864,2.1657073344703432,1.2154991926802354,4.629693287973953,2.15167220737127,428
4,500,6,0.01,1.218654091440922,4.432692277839624,2.1053959907436948,1.1873626236270172,4.3274461692610355,2.0802514677944672,307
9,500,6,0.01,1.2250059249761858,4.569912340373585,2.1377353298230313,1.197429538427439,4.251900168249248,2.062013619802073,267
6,500,6,0.01,1.231416969296505,4.515255493949346,2.1249130556211813,1.2107518657527983,4.603593732324357,2.145598688553933,288
5,500,6,0.05,1.144849863560404,4.201209853526483,2.0496853059741835,1.2208558535584013,4.745929665151178,2.178515472782137,88
3,500,6,0.05,1.1502186668855703,4.095289645777391,2.023682199797535,1.2144523882267095,4.705158119269649,2.169137644150239,133
7,500,6,0.05,1.1837512127635756,4.394934931088798,2.096410010252956,1.2265312755808102,4.970677340304353,2.2295015901102992,91
8,500,6,0.05,1.195362049141787,4.6772541747701455,2.1626960430837583,1.2036493372178592,4.61356486224033,2.14792105586782,118
10,500,6,0.05,1.1994647523151705,4.571922500877269,2.1382054393526526,1.2885947956512331,5.135747888811075,2.2662188528055,65
4,500,6,0.05,1.2147108537171636,4.421344927308126,2.102699438176585,1.184033864566987,4.315468916956729,2.077370673942599,60
9,500,6,0.05,1.2163546858579481,4.596928097703487,2.144044798436704,1.1889441710284778,4.264654114626528,2.0651038992328035,68
6,500,6,0.05,1.219078368359061,4.504589442853284,2.1224018099439332,1.1914821483843065,4.589391995239925,2.142286627704128,109
