game_number,mean_error,std_error,median_error,count
2,1.0835276,1.6405925,0.42652076,661
3,1.146139,1.6977131,0.5543951,654
4,1.183863,1.7487782,0.50077224,653
5,1.2098165,1.8041325,0.5378301,652
6,1.1855783,1.6425791,0.48429078,648
7,1.2421361,1.8396145,0.51629096,644
8,1.1040558,1.6287982,0.4739306,638
9,1.2885002,2.0071094,0.51186323,629
10,1.1013246,1.7667837,0.45025513,626
11,1.1130189,1.5399317,0.49362347,624
12,1.1644905,1.7353313,0.46655464,623
13,1.1262397,1.6728636,0.44572902,619
14,1.211888,1.7236804,0.5037261,607
15,1.2023453,1.8507173,0.4257622,606
16,1.0757878,1.5555782,0.46009025,598
17,1.2119029,1.90136,0.50774163,590
18,1.2350786,1.726326,0.5339407,585
19,1.2728454,1.7182102,0.55330867,580
20,1.1134086,1.6200117,0.45712245,579
21,1.2925677,1.9158494,0.6039479,576
22,1.1722198,1.6655375,0.54566264,569
23,1.2896892,1.9078323,0.50479746,565
24,1.3154247,1.963302,0.5104112,564
25,1.148177,1.681605,0.48862678,560
26,1.207498,1.7387086,0.54328156,559
27,1.2511301,1.8873618,0.5227649,557
28,1.2990102,1.8534851,0.55302274,556
29,1.2946393,1.9072518,0.5543327,555
30,1.2430975,1.7898772,0.6339588,551
31,1.2713104,1.9036578,0.5866071,546
32,1.2242702,1.7366555,0.5079034,541
33,1.1435388,1.6857561,0.48360372,539
34,1.2809675,2.2082207,0.487825,532
35,1.0800031,1.5230519,0.48322558,529
36,1.2233859,1.8336997,0.48541582,529
37,1.1255807,1.7608908,0.42172244,526
38,1.6945331,0.0,1.6945331,1
